Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Hábitos de leitura;Hábito de leitura [Score: 97] | Hábito da leitura [Score: 91];2;4
Primatas não humanos;Primatas não-humanos [Score: 95] | Primata não humano [Score: 95];2;4
Justiça epistêmica;Justiça epstêmica [Score: 97] | Injustiça epistêmica [Score: 95];2;4
Desenvolvimento econômico - aspectos sociais;Desenvolvimento econômico - aspectos ambientais [Score: 90] | Turismo - desenvolvimento econômico - aspectos sociais [Score: 90];2;18
Nanopartículas de maghemita;Nanopartículas de magnetita [Score: 93] | Nanopartículas de hematita [Score: 91];2;14
Século XIX;Século XX [Score: 95] | Século XXI [Score: 90];2;18
Ovino - criação - Distrito Federal (Brasil);Galinha - criação - Distrito Federal (Brasil) [Score: 91] | Peixe - criação - Distrito Federal (Brasil) [Score: 91];2;3
L-Asparaginase;L -asparaginase [Score: 97] | Asparaginase [Score: 92];2;13
Hormônio do crescimento (GH);Hormônio do crescimento (DGH) [Score: 98] | Hormônio do crescimento [Score: 90];2;5
Região Integrada de Desenvolvimento do Distrito Federal e Entorno (RIDE);Rede Integrada de Desenvolvimento do Distrito Federal e Entorno (RIDE) [Score: 96] | Região Integrada de Desenvolvimento do Distrito Federal (RIDE-DF) [Score: 91];2;11
Positivismo;Positivism [Score: 95] | Neopositivismo [Score: 88];2;10
Avaliação da qualidade;Avaliação de qualidade [Score: 95] | Avaliação da oralidade [Score: 91];2;13
Joelhos - ferimentos e lesões;Olhos - ferimentos e lesões [Score: 96] | Tornozelos - ferimentos e lesões [Score: 89];2;15
Neoproterozoico;Neoproterozóico [Score: 93] | Mesoproterozoico [Score: 90];2;13
Dinâmica dos fluidos;Diâmica dos fluídos [Score: 92] | Dinâmica de fluidos [Score: 92];2;16
Etnocenologia;Etnoceologia [Score: 96] | Etnoecologia [Score: 88];2;10
Família - aspectos psicológicos;Arritmia - aspectos psicológicos [Score: 89] | Música - aspectos psicológicos [Score: 89];2;25
Vitimização;Revitimização [Score: 92] | Desvitimização [Score: 88];2;3
Educação artística;Mediação artística [Score: 89] | Educação crítica [Score: 88];2;11
Desempenho muscular;Despenho muscular [Score: 94] | Desempenho neuromuscular [Score: 88];2;10
Pesquisa e formação;Pesquisador em formação [Score: 90] | Pesquisa-formação [Score: 89];2;3
Representação teatral;Apresentação teatral [Score: 93] | Representação textual [Score: 90];2;16
Pesquisa ecológica;Pesquisa tecnológica [Score: 95] | Pesquisa psicológica [Score: 89];2;3
Plantas hospedeiras;Plantas-hospedeiras [Score: 95] | Planta hospedeira [Score: 94];2;11
Unidades de conservação - Distrito Federal (Brasil);Canídeos - conservação - Distrito Federal (Brasil) [Score: 89] | Água - conservação - Distrito Federal (Brasil) [Score: 89];2;13
Avaliação institucional;Autoavaliação institucional [Score: 92] | Auto-avaliação institucional [Score: 90];2;15
Filosofia da ciência;Filosofia e ciência [Score: 92] | Filosofia da existência [Score: 88];2;14
Modelos paramétricos;Modelos semiparamétricos [Score: 91] | Modelos não paramétricos [Score: 91];2;4
Qualidade;Quiralidade [Score: 90] | Dualidade [Score: 89];2;17
Inibidor de Protease;Iinibidor de protease [Score: 98] | Inibidores de protease [Score: 95];2;4
Comunidade - desenvolvimento;Comunidades - desenvolvimento [Score: 98] | Comunidade de desenvolvimento [Score: 95];2;14
Madeira - propriedades mecânicas;Metais - propriedades mecânicas [Score: 89] | Madeira - propriedades térmicas [Score: 89];2;18
Relações Internacionais - história;Relações internacionais - China [Score: 89] | Relações internacionais - Brasil - história [Score: 88];2;15
Rede de colaboração;Redes de colaboração [Score: 97] | Regime de colaboração [Score: 90];2;15
Autoria negra;Autorias negras [Score: 93] | Autoras negras [Score: 89];2;4
Sistemas eletrônicos;Sistema eletrônico [Score: 95] | Sistemas elétricos [Score: 89];2;12
Mães e filhos;Mãe e filhos [Score: 96] | Mães e filhas [Score: 92];2;18
Matemática - problemas, exercícios, etc;Matemática - problemas, exercícios, etc. [Score: 99] | Geometria - problemas, exercícios, etc [Score: 88];2;15
Direitos da criança;Direitos das crianças [Score: 95] | Direito das crianças [Score: 92];2;15
Propriedades ópticas;Propriedades óticas [Score: 97] | Propriedade ópticas [Score: 97];2;10
Interação universidade-empresa;Relação universidade-empresa [Score: 90] | Interação universidade-escola [Score: 88];2;4
Monitoramento biológico;Monitoramento sismológico [Score: 92] | Monitoramento hidrológico [Score: 92];2;11
Indicador de desempenho;Indicadores de desempenho [Score: 96] | Indicador de desemprego [Score: 91];2;27
Self (Psicologia);Self  (Psicologia) [Score: 97] | Sexo (Psicologia) [Score: 88];2;25
Integração;Cointegração [Score: 91] | Internação [Score: 90];2;17
Estatização;Estigmatização [Score: 88] | Desestatização [Score: 88];2;5
Língua brasileira de sinais - terminologia;Língua brasileira de sinais - lexicologia [Score: 92] | Língua brasileira de sinais - morfologia [Score: 90];2;15
Parasitologia veterinária;Patologia veterinária [Score: 91] | Radiologia veterinária [Score: 89];2;13
Animais - proteção;Animais - porteção [Score: 94] | Animal - proteção [Score: 91];2;10
Instituto Federal de Educação, Ciência e Tecnologia de Brasília;Instituto Federal de Educação Ciência e Tecnologia de Rondônia [Score: 91] | Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso [Score: 88];2;16
Literatura - pós-colonialismo;Literatura -  pós-colonialismo [Score: 98] | Literatura pós-colonial [Score: 88];2;4
Institucionalismo histórico;Neoinstitucionalismo histórico [Score: 95] | Novo institucionalismo histórico [Score: 92];2;4
Unidimensionalidade;Multidimensionalidade [Score: 90] | Tridimensionalidade [Score: 89];2;3
Parques tecnológicos;Parques ecológicos [Score: 95] | Padrões tecnológicos [Score: 90];2;10
Turismo sustentável;Urbanismo sustentável [Score: 90] | Uso sustentável [Score: 88];2;14
Assentamentos humanos;Assentamentos urbanos [Score: 90] | Sentimentos humanos [Score: 90];2;12
Desigualdades matriciais lineares;Desigualdades matricias lineares [Score: 98] | Desigualdade matricial linear [Score: 90];2;10
Segurança dos alimentos;Segurança do alimento [Score: 95] | Segurança de alimentos [Score: 93];2;3
Testes psicológicos;Teste psicológico [Score: 94] | Testes neuropsicológicos [Score: 88];2;25
Ovino - criação;Bovino - criação [Score: 97] | Bovinos - criação [Score: 94];2;27
Identidade (Psicologia);Intimidade (Psicologia) [Score: 91] | Identidade - psicologia [Score: 91];2;19
Simulador de tráfego;Simuladores de tráfego [Score: 95] | Simulação de tráfego [Score: 90];2;3
Antropologia da ciência;Antropologia da infância [Score: 89] | Antropologia da experiência [Score: 88];2;9
Conflito;Conflitos [Score: 94] | Conflitos. [Score: 89];2;16
Economia espacial;Econometria espacial [Score: 92] | Ecologia espacial [Score: 88];2;4
Corrosão das armaduras;Corrosão de armaduras [Score: 93] | Corrosão de arumaduras [Score: 91];2;4
Aves - comportamento;Ave - comportamento [Score: 97] | Viagens - comportamento [Score: 88];2;19
Desenvolvimento econômico - Brasil;Desenvolvimento econômico brasileiro [Score: 91] | Desenvolvimento econômico e social [Score: 88];2;19
Economia - aspectos sociológicos;Economia - aspectos psicológicos [Score: 94] | Ciência - aspectos sociológicos [Score: 89];2;14
Gestão da qualidade;Gestão de qualidade [Score: 95] | Gestão para qualidade [Score: 90];2;12
Sistema Nacional de Avaliação de Educação Superior (Brasil);Sistema Nacional de Avaliação da Educação Superior (Sinaes) [Score: 92] | Sistema Nacional de Avaliação da Educação Básica (Brasil) [Score: 90];2;27
Estabilidade financeira;Instabilidade financeira [Score: 94] | Sustentabilidade financeira [Score: 88];2;16
Florestas - Amazônia;Florestas - Amazonas [Score: 90] | Floresta Amazônica [Score: 89];2;28
Idade Média;Cidade média [Score: 96] | Cidades médias [Score: 88];2;16
Evolução geológica;Evolução tecnológica [Score: 89] | Evolução Biológica [Score: 89];2;10
Biologia reprodutiva;Fisiologia reprodutiva [Score: 90] | Ecologia reprodutiva [Score: 90];2;21
Isótopos estáveis;Isótopos  estáveis [Score: 97] | Isotópos estáveis [Score: 88];2;19
Ensino médio - Distrito Federal (Brasil);Ensino secundário - Distrito Federal (Brasil) [Score: 89] | Ensino superior - Distrito Federal (Brasil) [Score: 89];2;21
Realismo (Literatura);Regionalismo (Literatura) [Score: 91] | Naturalismo (Literatura) [Score: 89];2;9
Crianças - aspectos sociais;Microfinanças - aspectos sociais [Score: 92] | Cinema - aspectos sociais [Score: 88];2;30
Oncologia veterinária;Odontologia veterinária [Score: 91] | Imunologia veterinária [Score: 88];2;4
Organização do conhecimento;Organização social do conhecimento [Score: 89] | Criação do conhecimento [Score: 88];2;20
Microorganismos;Microrganismos [Score: 97] | Mocroorganismos [Score: 93];2;22
Sismologia - Mato Grosso (MT);Geologia - Mato Grosso (MT) [Score: 89] | Epidemiologia - Mato Grosso (MT) [Score: 89];2;3
Competências cognitivas;Competências não cognitivas [Score: 92] | Competências coletivas [Score: 89];2;4
Responsabilidade ambiental;Responsabilidade socioambiental [Score: 91] | Responsabilidade civil ambiental [Score: 90];2;14
Tecnologias Digitais de Informação, Comunicação e Expressão;Tecnologias Digitais de Informação, Comunicação e Expressão (TICE) [Score: 94] | Tecnologias digitais de informação, comunicação [Score: 89];2;18
Polícia Militar;Policial militar [Score: 90] | Política militar [Score: 90];2;24
Percepção da forma;Percepção da dor [Score: 88] | Percepção da cor [Score: 88];2;3
Patrimônio cultural - proteção - Brasil;Patrimônio cultural - proteção - Brasília (DF) [Score: 89] | Patrimônio cultural - proteção - Sobral (CE) [Score: 89];2;4
Ciência da informação - terminologia;Ciência da informação - fenomenologia [Score: 90] | Ciência da Informação - epistemologia [Score: 90];2;4
Modelos hidrológicos;Modelos hidrogeológicos [Score: 93] | Modelos biológicos [Score: 89];2;4
Equidade (Direito);Eqüidade (Direito) [Score: 94] | Nulidade (Direito) [Score: 89];2;11
Altmetria;Altimetria [Score: 95] | Alometria [Score: 89];2;11
Testes;Teses [Score: 91] | Teste [Score: 91];2;16
Proteção ambiental - Distrito Federal (Brasil);Gestão ambiental - Distrito Federal (Brasil) [Score: 91] | Monitorização ambiental - Distrito Federal (Brasil) [Score: 89];2;12
Análise de agrupamento;Análise de agrupamentos [Score: 98] | Análise de grupamento [Score: 98];2;5
Marca;Marcha [Score: 91] | Marcas [Score: 91];2;6
Favelas - Distrito Federal (Brasil);Família - Distrito Federal (Brasil) [Score: 91] | Plantas - Distrito Federal (Brasil) [Score: 89];2;4
Teoria de Aprendizagem Musical;Teoria da aprendizagem musical [Score: 97] | Teoria da Aprendizagem Social [Score: 88];2;4
Tomate - adubos e fertilizantes;Trigo - adubos e fertilizantes [Score: 89] | Mudas - adubos e fertilizantes [Score: 89];2;4
Cidades modernas;Sociedades modernas [Score: 91] | Idade Moderna [Score: 90];2;6
Mulheres na literatura;Mulheres e literatura [Score: 93] | Mulheres - literatura [Score: 93];2;41
Apolipoproteína;Apolipoproteína L1 [Score: 91] | Lipoproteína [Score: 89];2;4
Portos - administração;Aeroportos - administração [Score: 92] | Esportes - administração [Score: 91];2;14
Síndrome de Hunter;Síndrome de Hurler [Score: 89] | Síndrome de Turner [Score: 89];2;3
Economia institucional;Economia institucionalista [Score: 92] | Nova economia institucional [Score: 90];2;4
Psicologia ambiental;Sociologia ambiental [Score: 90] | Parasitologia ambiental [Score: 88];2;20
Imuno-histoquímica;Imunohistoquímica [Score: 97] | Imunocitoquímica [Score: 88];2;24
Esterificação;Desertificação [Score: 89] | Estratificação [Score: 89];2;21
Narrativas autobiográficas;Narrativas (auto)biográficas [Score: 96] | Narrativas biográficas [Score: 92];2;21
Multiletramentos;Multiletramentos, [Score: 97] | (Multi)letramento [Score: 91];2;18
Constituição de 1988;Constituição de 1967 [Score: 90] | Constituição de 1946 [Score: 90];2;7
Aprendizado por reforço;Aprendizagem por reforço [Score: 89] | Aprendizado de reforço [Score: 89];2;12
Diversidade genética;Diversidade filogenética [Score: 91] | Diversidade genômica [Score: 90];2;34
Indicadores;Indicador [Score: 90] | Bioindicadores [Score: 88];2;42
Espaço-produto;Espaço produto [Score: 93] | Espaços produto [Score: 90];2;3
Legalidade;Letalidade [Score: 90] | Lealdade [Score: 89];2;8
Recuperação da informação;Recuperação de informação [Score: 96] | Preservação da informação [Score: 88];2;88
Bacias hidrográficas;Bacia hidrográficas [Score: 97] | Microbacias hidrográficas [Score: 89];2;86
Solos - análise;ISolos - análise [Score: 97] | Solo - análise [Score: 97];2;82
Política ambiental;Políticas ambientais [Score: 89] | Política cambial [Score: 88];2;97
Escolas públicas;Escola pública [Score: 93] | Escolha pública [Score: 90];2;48
Sexualidade;Sexualidades [Score: 96] | Bissexualidade [Score: 88];2;84
Geocronologia;­Geocronologia [Score: 96] | Gerontologia [Score: 88];2;45
Feijão - doenças e pragas;Melão - doenças e pragas [Score: 90] | Pepino - doenças e pragas [Score: 88];2;44
Biogeografia;Fitogeografia [Score: 88] | Filogeografia [Score: 88];2;76
Análise envoltória de dados;Análise de envoltória de dados [Score: 95] | Análise envoltória de dados (DEA) [Score: 90];2;53
Ontogênese;Odontogênese [Score: 91] | Oogênese [Score: 89];2;6
Desenvolvimento de processo;Desenvolvimento de pessoas [Score: 91] | Desenvolvimento de projetos [Score: 89];2;6
Migração;Imigração [Score: 94] | Emigração [Score: 94];2;91
Energia elétrica - distribuição;Engenharia elétrica - distribuição [Score: 92] | Energia elétrica - distúrbios [Score: 90];2;45
Fotografia;Fotografias [Score: 95] | Ortografia [Score: 90];2;77
Geoprocessamento;Geeoprocessamento [Score: 97] | Processamento [Score: 90];2;74
Desenvolvimento de novos produtos;Desenvolvimento de produtos [Score: 90] | Desenvolvimento de produto [Score: 88];2;7
Engenharia elétrica;Engenharia eletrônica [Score: 90] | Engenharia genética [Score: 89];2;95
Epistemologia feminista;Epistemiologia feminista [Score: 98] | Epistemologias feministas [Score: 96];2;5
Mudança linguística;Mudanças linguísticas [Score: 95] | Mudanças lingüísticas [Score: 90];2;6
Linhas de produtos de software;Linha de produtos de software [Score: 98] | Linha de produto de software [Score: 97];2;3
Hayek, Friedrich A., 1899-1992;Hayek, Friedrich A. von, 1899-1992 [Score: 94] | Hayek, Friedrich A. von (1899-1992) [Score: 89];2;3
Ciência política;Consciência política [Score: 89] | Violência política [Score: 88];2;42
Ensino de Biologia;Ensino de  biologia [Score: 97] | Ensino da Biologia [Score: 94];2;37
Saúde do trabalhador;Saúde dos trabalhadores [Score: 93] | Saúde da trabalhadora [Score: 93];2;37
Família;Famílias [Score: 93] | Famíla [Score: 92];2;117
Brasil - história - Revolução, 1964;Brasil - história - Revolução, 1922 [Score: 94] | Brasil - história - revolução [Score: 91];2;3
